custid,retained,esent,eopenrate,eclickrate,avgorder,ordfreq,favday
6H6T6N,0,29,100,3.448275862,14.52,0,Monday
APCENR,1,95,92.63157895,10.52631579,83.69,0.181640625,Friday
7UP6MS,0,0,0,0,33.58,0.059907834,Wednesday
7ZEW8G,0,0,0,0,54.96,0,Thursday
8V726M,1,30,90,13.33333333,111.91,0.008849558,Monday
2B6B83,1,46,80.43478261,15.2173913,175.1,0.141176471,Wednesday
99XGVM,1,60,43.33333333,6.666666667,116.55,0.125,Friday
U3MP5L,1,64,28.125,15.625,68.1,0.04009434,Friday
ELKAGQ,1,45,0,0,46.6,0,Wednesday
3SBQP2,1,34,94.11764706,8.823529412,66.07,0.133789063,Monday
YMALVV,1,48,83.33333333,2.083333333,89.04,0.086655113,Friday
GW8NT7,1,40,87.5,45,88.3,0.088477366,Wednesday
TFKLD4,1,69,2.898550725,2.898550725,126.81,0.059431525,Monday
RAQ92T,1,38,36.84210526,23.68421053,116.77,0.078947368,Tuesday
DMJERJ,0,16,12.5,0,59.25,0.129353234,Tuesday
FJKD8W,1,45,60,15.55555556,49.73,0.044247788,Wednesday
HEPCW7,0,13,61.53846154,15.38461538,156.54,0.119113573,Monday
2JZAE3,1,48,8.333333333,2.083333333,101.06,0.037800687,Monday
BYS2DU,1,57,17.54385965,0,14.02,0.066009852,Monday
F6MHUM,1,46,65.2173913,8.695652174,79.39,0.069838057,Thursday
LSL6QK,0,0,0,0,29.17,0,Monday
9SVNMF,1,47,2.127659574,0,79.88,0.006932409,Wednesday
JPBBEP,1,47,19.14893617,10.63829787,115.25,0.138888889,Wednesday
3ML22U,0,0,0,0,76.67,0.007017544,Tuesday
N297FU,0,0,0,0,35.86,0.006024096,Tuesday
JD96M8,1,18,0,0,85.61,0.08,Tuesday
PLM5WZ,0,0,0,0,75.54,0.007072136,Monday
F3MF5Y,1,31,100,9.677419355,59.67,0.016427105,Thursday
2GHDRJ,1,46,6.52173913,4.347826087,59.11,0.015701668,Friday
KZHTJ7,1,49,36.73469388,20.40816327,33.87,0.026392962,Monday
WXBP2F,1,16,0,0,64.82,0.071428571,Tuesday
RJYYJ9,1,45,11.11111111,0,60.94,0,Tuesday
MZ8L3N,1,40,2.5,2.5,94.28,0.021929825,Thursday
UCVGQ9,1,48,12.5,2.083333333,103.39,0.013157895,Monday
4W84UJ,0,0,0,0,15.64,0,Tuesday
LMVN3V,1,45,17.77777778,2.222222222,117.97,0.03255814,Thursday
CZTUVU,1,47,2.127659574,0,37.24,0.036809816,Wednesday
3TJT3R,1,16,0,0,165.95,0.007434944,Friday
Q7RV8W,1,45,0,0,74.74,0,Friday
D5SNFS,0,0,0,0,178.44,0.045203969,Wednesday
ANEWZC,0,0,0,0,43.54,0,Tuesday
ZKL5JF,0,0,0,0,103.64,0.016172507,Thursday
EEKG4H,0,0,0,0,28.63,0,Wednesday
AZJTMQ,0,0,0,0,21.97,0,Thursday
HGBG96,0,0,0,0,87.05,0.021276596,Tuesday
W97W6Q,1,48,2.083333333,2.083333333,35.73,0.026008969,Tuesday
LGA8JT,1,50,10,4,33.38,0.005380477,Monday
RZQEWF,1,45,0,0,22.92,0,Wednesday
D4AEL5,0,0,0,0,125.97,0.035911602,Monday
3PST7V,0,0,0,0,37.01,0.047619048,Friday
T6ZAER,0,0,0,0,61.85,0.269230769,Friday
C55RAB,0,0,0,0,101.3,0,Wednesday
YRHUHV,1,53,3.773584906,3.773584906,151.27,0.094653812,Tuesday
8SK2UB,1,18,0,0,58.57,0.166666667,Monday
HZS3AJ,0,0,0,0,55.9,0,Thursday
GXDXR6,1,18,0,0,132.31,0.027472527,Monday
LE9M9X,1,16,0,0,91.9,0,Monday
B2LW75,1,16,0,0,39.16,0,Friday
BNE3YV,1,23,95.65217391,0,68.82,0.032644178,Monday
LJJEMA,1,34,14.70588235,0,44.05,0,Tuesday
EBNK8A,0,0,0,0,184.37,0,Wednesday
Z4YCW4,1,41,43.90243902,0,27.11,0.065408805,Thursday
FNWU29,0,0,0,0,65.77,0.018891688,Wednesday
ARR4H6,1,42,26.19047619,2.380952381,44.97,0.006144393,Tuesday
RACF5D,0,0,0,0,69.69,0,Thursday
64QBT7,0,33,75.75757576,0,49.76,0.214285714,Tuesday
GK3EST,1,16,0,0,81.95,0,Wednesday
W3TM2U,0,0,0,0,134.18,0.015217391,Tuesday
MLX3EU,1,14,0,0,63.18,0,Thursday
BXWS2B,1,45,77.77777778,20,42.62,0.064372919,Monday
C8UJQ3,1,16,0,0,23.79,0,Wednesday
PFCF8Q,1,46,93.47826087,15.2173913,165.07,0,Tuesday
NJR788,0,0,0,0,29.68,0,Tuesday
J8SLPE,1,45,4.444444444,2.222222222,39.41,0.006711409,Friday
GYH5AF,1,47,2.127659574,0,73.07,0,Friday
4QRWVB,1,18,0,0,50.87,0.072222222,Wednesday
VMYYX9,0,0,0,0,35.09,0.09375,Monday
CF5K35,1,42,38.0952381,0,85.37,0.076923077,Monday
XQK2CK,0,0,0,0,60.3,0,Thursday
FM7VFL,1,44,25,11.36363636,117.32,0.032786885,Friday
7PEMUD,1,47,0,0,105.45,0.003707136,Tuesday
A3XBE,1,45,6.666666667,2.222222222,165.23,0.010526316,Monday
EQSD5E,1,45,6.666666667,0,52.4,0,Tuesday
CT3NDS,1,39,87.17948718,12.82051282,30.48,0.015732547,Tuesday
C6HVXN,1,16,0,0,33.57,0,Thursday
ARP 342.00,0,0,0,0,83.04,0,Monday
7PALQK,0,0,0,0,54.82,0.076190476,Thursday
S5DZ4Y,1,47,2.127659574,0,20.54,0.008403361,Monday
Z7QFN7,1,16,0,0,53.36,0,Friday
TGYGPC,1,42,16.66666667,2.380952381,27.74,0.005617978,Friday
DVRYSK,0,0,0,0,25,0,Thursday
HTJNCB,1,39,35.8974359,0,130.51,0.021505376,Tuesday
3VCXN,0,0,0,0,141.97,0.015873016,Monday
SGU3PB,0,0,0,0,47.5,0.010126582,Thursday
PXXTWN,0,0,0,0,111.86,0.054263566,Tuesday
U9ZQQP,1,46,19.56521739,10.86956522,29.73,0.006485084,Tuesday
M87HQT,0,0,0,0,109.16,0.022988506,Monday
564EL5,0,0,0,0,27.6,0,Thursday
S7B2TP,1,38,28.94736842,18.42105263,54.62,0,Friday
PA38W9,0,0,0,0,37.2,0,Thursday
